0.43431E-04    0.19299E+03
0.44056E-04    0.19565E+03
0.44689E-04    0.19836E+03
0.45332E-04    0.20109E+03
0.45985E-04    0.20387E+03
0.46646E-04    0.20669E+03
0.47317E-04    0.20954E+03
0.47998E-04    0.21243E+03
0.48689E-04    0.21537E+03
0.49389E-04    0.21834E+03
0.50100E-04    0.22135E+03
0.50821E-04    0.22441E+03
0.51552E-04    0.22751E+03
0.52294E-04    0.23065E+03
0.53046E-04    0.23383E+03
0.53810E-04    0.23706E+03
0.54584E-04    0.24034E+03
0.55369E-04    0.24365E+03
0.56166E-04    0.24702E+03
0.56974E-04    0.25043E+03
0.57794E-04    0.25389E+03
0.58625E-04    0.25739E+03
0.59469E-04    0.26095E+03
0.60324E-04    0.26455E+03
0.61192E-04    0.26820E+03
0.62073E-04    0.27190E+03
0.62966E-04    0.27566E+03
0.63872E-04    0.27946E+03
0.64791E-04    0.28332E+03
0.65723E-04    0.28723E+03
0.66669E-04    0.29120E+03
0.67628E-04    0.29522E+03
0.68601E-04    0.29929E+03
0.69588E-04    0.30343E+03
0.70589E-04    0.30761E+03
0.71605E-04    0.31186E+03
0.72635E-04    0.31617E+03
0.73680E-04    0.32053E+03
0.74741E-04    0.32496E+03
0.75816E-04    0.32944E+03
0.76907E-04    0.33399E+03
0.78013E-04    0.33860E+03
0.79136E-04    0.34327E+03
0.80274E-04    0.34801E+03
0.81429E-04    0.35282E+03
0.82601E-04    0.35769E+03
0.83790E-04    0.36263E+03
0.84995E-04    0.36763E+03
0.86218E-04    0.37271E+03
0.87459E-04    0.37785E+03
0.88717E-04    0.38307E+03
0.89993E-04    0.38835E+03
0.91288E-04    0.39371E+03
0.92602E-04    0.39915E+03
0.93934E-04    0.40466E+03
0.95286E-04    0.41024E+03
0.96657E-04    0.41590E+03
0.98047E-04    0.42165E+03
0.99458E-04    0.42746E+03
0.10089E-03    0.43336E+03
0.10234E-03    0.43935E+03
0.10381E-03    0.44541E+03
0.10531E-03    0.45156E+03
0.10682E-03    0.45779E+03
0.10836E-03    0.46411E+03
0.10992E-03    0.47051E+03
0.11150E-03    0.47700E+03
0.11310E-03    0.48359E+03
0.11473E-03    0.49026E+03
0.11638E-03    0.49703E+03
0.11806E-03    0.50388E+03
0.11976E-03    0.51084E+03
0.12148E-03    0.51789E+03
0.12323E-03    0.52503E+03
0.12500E-03    0.53228E+03
0.12680E-03    0.53962E+03
0.12862E-03    0.54707E+03
0.13047E-03    0.55461E+03
0.13235E-03    0.56227E+03
0.13425E-03    0.57002E+03
0.13619E-03    0.57789E+03
0.13815E-03    0.58586E+03
0.14013E-03    0.59394E+03
0.14215E-03    0.60213E+03
0.14419E-03    0.61044E+03
0.14627E-03    0.61886E+03
0.14837E-03    0.62740E+03
0.15051E-03    0.63605E+03
0.15267E-03    0.64482E+03
0.15487E-03    0.65372E+03
0.15710E-03    0.66273E+03
0.15936E-03    0.67187E+03
0.16165E-03    0.68114E+03
0.16398E-03    0.69053E+03
0.16634E-03    0.70005E+03
0.16873E-03    0.70971E+03
0.17116E-03    0.71949E+03
0.17362E-03    0.72941E+03
0.17612E-03    0.73947E+03
0.17865E-03    0.74967E+03
0.18122E-03    0.76000E+03
0.18383E-03    0.77048E+03
0.18648E-03    0.78110E+03
0.18916E-03    0.79187E+03
0.19188E-03    0.80278E+03
0.19464E-03    0.81385E+03
0.19744E-03    0.82506E+03
0.20028E-03    0.83643E+03
0.20317E-03    0.84796E+03
0.20609E-03    0.85965E+03
0.20905E-03    0.87149E+03
0.21206E-03    0.88350E+03
0.21511E-03    0.89567E+03
0.21821E-03    0.90801E+03
0.22135E-03    0.92052E+03
0.22453E-03    0.93320E+03
0.22776E-03    0.94605E+03
0.23104E-03    0.95908E+03
0.23436E-03    0.97229E+03
0.23774E-03    0.98568E+03
0.24116E-03    0.99925E+03
0.24463E-03    0.10130E+04
0.24815E-03    0.10270E+04
0.25172E-03    0.10411E+04
0.25534E-03    0.10554E+04
0.25901E-03    0.10700E+04
0.26274E-03    0.10847E+04
0.26652E-03    0.10996E+04
0.27036E-03    0.11147E+04
0.27425E-03    0.11301E+04
0.27819E-03    0.11456E+04
0.28219E-03    0.11614E+04
0.28625E-03    0.11774E+04
0.29037E-03    0.11935E+04
0.29455E-03    0.12100E+04
0.29879E-03    0.12266E+04
0.30309E-03    0.12435E+04
0.30745E-03    0.12605E+04
0.31187E-03    0.12779E+04
