 # k, pm_lin, pm_lin_IR, pm_1loop_IR, pb1b2, pb1bG2, pb1bGamma3, pb22, pb2bg2, pbg22
 1.659100e-03 6.096900e+03 6.096900e+03 6.096560e+03 -1.526096e-01 -1.036948e-02 -2.160767e+00 -1.830590e-01 -4.492752e+00 4.496451e-02 
 1.683000e-03 6.175000e+03 6.175000e+03 6.174646e+03 -1.567974e-01 -1.097759e-02 -2.251557e+00 -1.883603e-01 -4.622582e+00 4.746548e-02 
 1.707200e-03 6.254100e+03 6.254100e+03 6.253731e+03 -1.610878e-01 -1.162162e-02 -2.346160e+00 -1.938088e-01 -4.756002e+00 5.010414e-02 
 1.731700e-03 6.334000e+03 6.334000e+03 6.333616e+03 -1.654809e-01 -1.230268e-02 -2.444559e+00 -1.994054e-01 -4.893043e+00 5.288499e-02 
 1.756700e-03 6.414700e+03 6.414700e+03 6.414299e+03 -1.700127e-01 -1.302762e-02 -2.547473e+00 -2.051973e-01 -5.034847e+00 5.583473e-02 
 1.781900e-03 6.496400e+03 6.496400e+03 6.495983e+03 -1.746303e-01 -1.379000e-02 -2.654084e+00 -2.111187e-01 -5.179801e+00 5.892589e-02 
 1.807600e-03 6.579000e+03 6.579000e+03 6.578565e+03 -1.793901e-01 -1.460089e-02 -2.765610e+00 -2.172430e-01 -5.329707e+00 6.220258e-02 
 1.833600e-03 6.662500e+03 6.662500e+03 6.662047e+03 -1.842568e-01 -1.545660e-02 -2.881404e+00 -2.235271e-01 -5.483499e+00 6.564834e-02 
 1.860000e-03 6.746900e+03 6.746900e+03 6.746428e+03 -1.892504e-01 -1.636296e-02 -3.002128e+00 -2.299984e-01 -5.641850e+00 6.928471e-02 
 1.886700e-03 6.832300e+03 6.832300e+03 6.831808e+03 -1.943533e-01 -1.731898e-02 -3.127435e+00 -2.366360e-01 -5.804247e+00 7.310660e-02 
 1.913900e-03 6.918600e+03 6.918600e+03 6.918088e+03 -1.996054e-01 -1.833466e-02 -3.258405e+00 -2.434935e-01 -5.972006e+00 7.715269e-02 
 1.941400e-03 7.005800e+03 7.005800e+03 7.005267e+03 -2.049694e-01 -1.940564e-02 -3.394291e+00 -2.505247e-01 -6.143992e+00 8.140334e-02 
 1.969300e-03 7.093900e+03 7.093900e+03 7.093345e+03 -2.104661e-01 -2.053879e-02 -3.535763e+00 -2.577593e-01 -6.320920e+00 8.588390e-02 
 1.997700e-03 7.183000e+03 7.183000e+03 7.182421e+03 -2.161170e-01 -2.174196e-02 -3.683417e+00 -2.652282e-01 -6.503545e+00 9.062287e-02 
 2.026400e-03 7.273000e+03 7.273000e+03 7.272397e+03 -2.218835e-01 -2.300923e-02 -3.836633e+00 -2.728818e-01 -6.690677e+00 9.559792e-02 
 2.055600e-03 7.364000e+03 7.364000e+03 7.363372e+03 -2.278125e-01 -2.435875e-02 -3.996846e+00 -2.807903e-01 -6.883980e+00 1.008752e-01 
 2.085100e-03 7.455900e+03 7.455900e+03 7.455246e+03 -2.338596e-01 -2.578219e-02 -4.163084e+00 -2.888940e-01 -7.082013e+00 1.064151e-01 
 2.115100e-03 7.548800e+03 7.548801e+03 7.548119e+03 -2.400668e-01 -2.729060e-02 -4.336409e+00 -2.972513e-01 -7.286214e+00 1.122673e-01 
 2.145600e-03 7.642700e+03 7.642701e+03 7.641991e+03 -2.464359e-01 -2.889011e-02 -4.517130e+00 -3.058672e-01 -7.496722e+00 1.184482e-01 
 2.176500e-03 7.737600e+03 7.737601e+03 7.736861e+03 -2.529478e-01 -3.057942e-02 -4.705004e+00 -3.147202e-01 -7.712977e+00 1.249531e-01 
 2.207800e-03 7.833400e+03 7.833401e+03 7.832631e+03 -2.596021e-01 -3.236483e-02 -4.900322e+00 -3.238152e-01 -7.935091e+00 1.317971e-01 
 2.239500e-03 7.930200e+03 7.930201e+03 7.929399e+03 -2.664001e-01 -3.425065e-02 -5.103176e+00 -3.331568e-01 -8.163176e+00 1.389955e-01 
 2.271800e-03 8.027900e+03 8.027901e+03 8.027066e+03 -2.733866e-01 -3.625358e-02 -5.315146e+00 -3.428101e-01 -8.398818e+00 1.466127e-01 
 2.304400e-03 8.126700e+03 8.126701e+03 8.125832e+03 -2.804973e-01 -3.836120e-02 -5.534632e+00 -3.526901e-01 -8.639958e+00 1.545958e-01 
 2.337600e-03 8.226400e+03 8.226401e+03 8.225496e+03 -2.877987e-01 -4.059886e-02 -5.763832e+00 -3.628939e-01 -8.888952e+00 1.630375e-01 
 2.371200e-03 8.327200e+03 8.327201e+03 8.326259e+03 -2.952476e-01 -4.295975e-02 -6.001770e+00 -3.733661e-01 -9.144446e+00 1.719076e-01 
 2.405400e-03 8.428900e+03 8.428901e+03 8.427920e+03 -3.028894e-01 -4.546763e-02 -6.249936e+00 -3.841758e-01 -9.408122e+00 1.812817e-01 
 2.440000e-03 8.531700e+03 8.531701e+03 8.530680e+03 -3.106812e-01 -4.811225e-02 -6.507796e+00 -3.952713e-01 -9.678685e+00 1.911369e-01 
 2.475100e-03 8.635400e+03 8.635401e+03 8.634338e+03 -3.186482e-01 -5.091619e-02 -6.776414e+00 -4.066968e-01 -9.957223e+00 2.015416e-01 
 2.510700e-03 8.740100e+03 8.740101e+03 8.738994e+03 -3.267864e-01 -5.387871e-02 -7.055793e+00 -4.184476e-01 -1.024365e+01 2.124971e-01 
 2.546800e-03 8.845800e+03 8.845801e+03 8.844649e+03 -3.350952e-01 -5.701574e-02 -7.346336e+00 -4.305331e-01 -1.053813e+01 2.240288e-01 
 2.583400e-03 8.952600e+03 8.952602e+03 8.951401e+03 -3.435765e-01 -6.033200e-02 -7.648362e+00 -4.429578e-01 -1.084081e+01 2.361641e-01 
 2.620600e-03 9.060300e+03 9.060302e+03 9.059052e+03 -3.522540e-01 -6.384273e-02 -7.963000e+00 -4.557643e-01 -1.115272e+01 2.489650e-01 
 2.658300e-03 9.169100e+03 9.169102e+03 9.167801e+03 -3.611029e-01 -6.755140e-02 -8.289852e+00 -4.689263e-01 -1.147319e+01 2.624284e-01 
 2.696600e-03 9.278800e+03 9.278802e+03 9.277448e+03 -3.701462e-01 -7.147924e-02 -8.630224e+00 -4.824868e-01 -1.180326e+01 2.766221e-01 
 2.735400e-03 9.389600e+03 9.389602e+03 9.388193e+03 -3.793604e-01 -7.562589e-02 -8.983768e+00 -4.964180e-01 -1.214225e+01 2.915426e-01 
 2.774700e-03 9.501400e+03 9.501402e+03 9.499936e+03 -3.887440e-01 -8.000271e-02 -9.350912e+00 -5.107262e-01 -1.249034e+01 3.072218e-01 
 2.814700e-03 9.614200e+03 9.614202e+03 9.612676e+03 -3.983440e-01 -8.464480e-02 -9.733707e+00 -5.254946e-01 -1.284951e+01 3.237785e-01 
 2.855200e-03 9.728000e+03 9.728003e+03 9.726414e+03 -4.081118e-01 -8.954330e-02 -1.013101e+01 -5.406590e-01 -1.321817e+01 3.411684e-01 
 2.896200e-03 9.842800e+03 9.842803e+03 9.841150e+03 -4.180423e-01 -9.471376e-02 -1.054343e+01 -5.562252e-01 -1.359649e+01 3.594278e-01 
 2.937900e-03 9.958600e+03 9.958603e+03 9.956883e+03 -4.281896e-01 -1.002018e-01 -1.097357e+01 -5.722904e-01 -1.398687e+01 3.787321e-01 
 2.980200e-03 1.007500e+04 1.007500e+04 1.007321e+04 -4.385234e-01 -1.060134e-01 -1.142069e+01 -5.888266e-01 -1.438850e+01 3.990690e-01 
 3.023100e-03 1.019300e+04 1.019300e+04 1.019114e+04 -4.490400e-01 -1.121539e-01 -1.188597e+01 -6.058326e-01 -1.480141e+01 4.204615e-01 
 3.066600e-03 1.031200e+04 1.031200e+04 1.031007e+04 -4.597356e-01 -1.186432e-01 -1.236945e+01 -6.233201e-01 -1.522583e+01 4.429578e-01 
 3.110700e-03 1.043200e+04 1.043200e+04 1.042999e+04 -4.706084e-01 -1.254978e-01 -1.287184e+01 -6.412979e-01 -1.566200e+01 4.666079e-01 
 3.155400e-03 1.055300e+04 1.055300e+04 1.055091e+04 -4.816540e-01 -1.327360e-01 -1.339314e+01 -6.597754e-01 -1.611012e+01 4.914627e-01 
 3.200800e-03 1.067400e+04 1.067400e+04 1.067182e+04 -4.928932e-01 -1.403954e-01 -1.393506e+01 -6.788051e-01 -1.657147e+01 5.176344e-01 
 3.246900e-03 1.079700e+04 1.079700e+04 1.079473e+04 -5.043216e-01 -1.484970e-01 -1.449900e+01 -6.983997e-01 -1.704632e+01 5.451853e-01 
 3.293600e-03 1.092100e+04 1.092100e+04 1.091864e+04 -5.159090e-01 -1.570447e-01 -1.508473e+01 -7.185273e-01 -1.753389e+01 5.741163e-01 
 3.341000e-03 1.104600e+04 1.104600e+04 1.104355e+04 -5.276751e-01 -1.660827e-01 -1.569331e+01 -7.392415e-01 -1.803549e+01 6.045523e-01 
 3.389100e-03 1.117100e+04 1.117100e+04 1.116845e+04 -5.396150e-01 -1.756353e-01 -1.632492e+01 -7.605555e-01 -1.855140e+01 6.365626e-01 
 3.437800e-03 1.129800e+04 1.129800e+04 1.129535e+04 -5.516960e-01 -1.857081e-01 -1.698095e+01 -7.824358e-01 -1.908082e+01 6.701470e-01 
 3.487300e-03 1.142600e+04 1.142601e+04 1.142324e+04 -5.639620e-01 -1.963712e-01 -1.766377e+01 -8.049859e-01 -1.962620e+01 7.055179e-01 
 3.537500e-03 1.155400e+04 1.155401e+04 1.155113e+04 -5.763782e-01 -2.076711e-01 -1.837287e+01 -8.282069e-01 -2.018744e+01 7.428048e-01 
 3.588400e-03 1.168400e+04 1.168401e+04 1.168102e+04 -5.889356e-01 -2.196029e-01 -1.911066e+01 -8.520829e-01 -2.076423e+01 7.819846e-01 
 3.640000e-03 1.181400e+04 1.181401e+04 1.181090e+04 -6.016242e-01 -2.322065e-01 -1.987513e+01 -8.766255e-01 -2.135684e+01 8.231351e-01 
 3.692400e-03 1.194500e+04 1.194501e+04 1.194177e+04 -6.144600e-01 -2.455323e-01 -2.067022e+01 -9.018935e-01 -2.196673e+01 8.664246e-01 
 3.745500e-03 1.207800e+04 1.207801e+04 1.207465e+04 -6.274067e-01 -2.595926e-01 -2.149587e+01 -9.278576e-01 -2.259307e+01 9.118640e-01 
 3.799400e-03 1.221100e+04 1.221101e+04 1.220751e+04 -6.404784e-01 -2.744544e-01 -2.235307e+01 -9.545808e-01 -2.323737e+01 9.596346e-01 
 3.854100e-03 1.234500e+04 1.234501e+04 1.234137e+04 -6.536628e-01 -2.901552e-01 -2.324312e+01 -9.820781e-01 -2.389999e+01 1.009841e+00 
 3.909500e-03 1.248000e+04 1.248001e+04 1.247623e+04 -6.669204e-01 -3.067064e-01 -2.416598e+01 -1.010314e+00 -2.458006e+01 1.062495e+00 
 3.965800e-03 1.261600e+04 1.261601e+04 1.261208e+04 -6.802828e-01 -3.242180e-01 -2.512589e+01 -1.039410e+00 -2.528038e+01 1.117898e+00 
 4.022800e-03 1.275300e+04 1.275301e+04 1.274893e+04 -6.936892e-01 -3.426729e-01 -2.612039e+01 -1.069278e+00 -2.599885e+01 1.175967e+00 
 4.080700e-03 1.289000e+04 1.289001e+04 1.288577e+04 -7.071728e-01 -3.621809e-01 -2.715274e+01 -1.100035e+00 -2.673835e+01 1.237026e+00 
 4.139400e-03 1.302900e+04 1.302901e+04 1.302460e+04 -7.206891e-01 -3.827645e-01 -2.822523e+01 -1.131651e+00 -2.749800e+01 1.301097e+00 
 4.199000e-03 1.316800e+04 1.316801e+04 1.316343e+04 -7.342353e-01 -4.045205e-01 -2.933814e+01 -1.164209e+00 -2.827977e+01 1.368485e+00 
 4.259400e-03 1.330800e+04 1.330801e+04 1.330325e+04 -7.477489e-01 -4.275582e-01 -3.049421e+01 -1.197700e+00 -2.908321e+01 1.439326e+00 
 4.320700e-03 1.344900e+04 1.344901e+04 1.344406e+04 -7.612656e-01 -4.518674e-01 -3.169473e+01 -1.232155e+00 -2.990939e+01 1.513729e+00 
 4.382800e-03 1.359100e+04 1.359101e+04 1.358587e+04 -7.747232e-01 -4.774911e-01 -3.293886e+01 -1.267539e+00 -3.075738e+01 1.591721e+00 
 4.445900e-03 1.373300e+04 1.373301e+04 1.372767e+04 -7.881467e-01 -5.045839e-01 -3.423014e+01 -1.303992e+00 -3.163032e+01 1.673707e+00 
 4.509900e-03 1.387600e+04 1.387601e+04 1.387046e+04 -8.014793e-01 -5.331826e-01 -3.556948e+01 -1.341481e+00 -3.252733e+01 1.759731e+00 
 4.574800e-03 1.402000e+04 1.402001e+04 1.401425e+04 -8.146956e-01 -5.633486e-01 -3.695917e+01 -1.380023e+00 -3.344884e+01 1.849963e+00 
 4.640600e-03 1.416500e+04 1.416501e+04 1.415903e+04 -8.277673e-01 -5.951608e-01 -3.839982e+01 -1.419638e+00 -3.439531e+01 1.944577e+00 
 4.707300e-03 1.431000e+04 1.431001e+04 1.430379e+04 -8.406600e-01 -6.287025e-01 -3.989206e+01 -1.460348e+00 -3.536720e+01 2.043753e+00 
 4.775100e-03 1.445600e+04 1.445601e+04 1.444955e+04 -8.533772e-01 -6.641574e-01 -4.144170e+01 -1.502302e+00 -3.636792e+01 2.147991e+00 
 4.843800e-03 1.460200e+04 1.460201e+04 1.459531e+04 -8.658430e-01 -7.015227e-01 -4.304613e+01 -1.545396e+00 -3.739506e+01 2.257188e+00 
 4.913500e-03 1.475000e+04 1.475001e+04 1.474305e+04 -8.780384e-01 -7.409448e-01 -4.471222e+01 -1.589715e+00 -3.845059e+01 2.371711e+00 
 4.984200e-03 1.489800e+04 1.489801e+04 1.489078e+04 -8.899263e-01 -7.825070e-01 -4.643815e+01 -1.635292e+00 -3.953503e+01 2.491777e+00 
 5.055900e-03 1.504600e+04 1.504601e+04 1.503851e+04 -9.014260e-01 -8.264251e-01 -4.822678e+01 -1.682186e+00 -4.064973e+01 2.617854e+00 
 5.128600e-03 1.519500e+04 1.519501e+04 1.518722e+04 -9.124930e-01 -8.728087e-01 -5.008244e+01 -1.730411e+00 -4.179500e+01 2.750124e+00 
 5.202400e-03 1.534400e+04 1.534401e+04 1.533592e+04 -9.231175e-01 -9.217397e-01 -5.200499e+01 -1.780033e+00 -4.297244e+01 2.888869e+00 
 5.277300e-03 1.549400e+04 1.549402e+04 1.548561e+04 -9.332429e-01 -9.733800e-01 -5.399950e+01 -1.831093e+00 -4.418266e+01 3.034354e+00 
 5.353200e-03 1.564500e+04 1.564502e+04 1.563630e+04 -9.428039e-01 -1.027755e+00 -5.606524e+01 -1.883542e+00 -4.542461e+01 3.186657e+00 
 5.430200e-03 1.579600e+04 1.579602e+04 1.578697e+04 -9.517414e-01 -1.085097e+00 -5.820394e+01 -1.937475e+00 -4.670051e+01 3.346248e+00 
 5.508400e-03 1.594700e+04 1.594702e+04 1.593762e+04 -9.600109e-01 -1.145615e+00 -6.042099e+01 -1.993001e+00 -4.801263e+01 3.513638e+00 
 5.587600e-03 1.609900e+04 1.609902e+04 1.608927e+04 -9.675379e-01 -1.209286e+00 -6.271431e+01 -2.050006e+00 -4.935823e+01 3.688699e+00 
 5.668000e-03 1.625100e+04 1.625102e+04 1.624090e+04 -9.742721e-01 -1.276446e+00 -6.509038e+01 -2.108656e+00 -5.074134e+01 3.872181e+00 
 5.749600e-03 1.640300e+04 1.640302e+04 1.639252e+04 -9.801266e-01 -1.347275e+00 -6.755066e+01 -2.168997e+00 -5.216261e+01 4.064426e+00 
 5.832300e-03 1.655600e+04 1.655602e+04 1.654513e+04 -9.850018e-01 -1.421830e+00 -7.009749e+01 -2.230983e+00 -5.362096e+01 4.265532e+00 
 5.916200e-03 1.670900e+04 1.670902e+04 1.669773e+04 -9.888551e-01 -1.500395e+00 -7.273390e+01 -2.294729e+00 -5.511880e+01 4.476087e+00 
 6.001300e-03 1.686200e+04 1.686202e+04 1.685031e+04 -9.915879e-01 -1.583140e+00 -7.546113e+01 -2.360261e+00 -5.665679e+01 4.696458e+00 
 6.087700e-03 1.701600e+04 1.701602e+04 1.700387e+04 -9.929909e-01 -1.670691e+00 -7.829388e+01 -2.427766e+00 -5.823920e+01 4.927947e+00 
 6.175300e-03 1.716900e+04 1.716902e+04 1.715642e+04 -9.930412e-01 -1.762885e+00 -8.121988e+01 -2.497159e+00 -5.986340e+01 5.170140e+00 
 6.264100e-03 1.732300e+04 1.732302e+04 1.730996e+04 -9.916757e-01 -1.859905e+00 -8.424904e+01 -2.568453e+00 -6.152996e+01 5.423395e+00 
 6.354300e-03 1.747700e+04 1.747702e+04 1.746347e+04 -9.887835e-01 -1.962234e+00 -8.738508e+01 -2.641850e+00 -6.324338e+01 5.688710e+00 
