9.920100000000e-04 3.815200000000e+03 3.815199936685e+03 3.815123397603e+03 -5.644924543119e-02 -1.323994496835e-03 -4.852271793452e-01 -6.550777367192e-02 -1.609838366178e+00 6.261714474397e-03
1.006300000000e-03 3.866000000000e+03 3.865999938988e+03 3.865920135399e+03 -5.805483953536e-02 -1.402100938672e-03 -5.059305142049e-01 -6.740755504143e-02 -1.656489795476e+00 6.617851346287e-03
1.020800000000e-03 3.917500000000e+03 3.917499940131e+03 3.917416734088e+03 -5.970562781294e-02 -1.484841299547e-03 -5.275188586128e-01 -6.936296469667e-02 -1.704505172975e+00 6.994182065317e-03
1.035500000000e-03 3.969700000000e+03 3.969699938745e+03 3.969613190363e+03 -6.140131389525e-02 -1.572411651699e-03 -5.500133798916e-01 -7.137383497229e-02 -1.753880204064e+00 7.391483280598e-03
1.050400000000e-03 4.022500000000e+03 4.022499937791e+03 4.022409498537e+03 -6.314273091199e-02 -1.665067026438e-03 -5.734502664283e-01 -7.344133378592e-02 -1.804643382174e+00 7.810822661026e-03
1.065500000000e-03 4.075900000000e+03 4.075899937183e+03 4.075805652860e+03 -6.493071751939e-02 -1.763073609373e-03 -5.978661325223e-01 -7.556664474305e-02 -1.856823576686e+00 8.253311750737e-03
1.080800000000e-03 4.130100000000e+03 4.130099929821e+03 4.130001648935e+03 -6.676610672722e-02 -1.866718973216e-03 -6.232891987584e-01 -7.775096709975e-02 -1.910450029073e+00 8.720113430645e-03
1.096300000000e-03 4.184800000000e+03 4.184799925787e+03 4.184697483313e+03 -6.864972866290e-02 -1.976309645580e-03 -6.497418033758e-01 -7.999551576586e-02 -1.965552353417e+00 9.212441265883e-03
1.112100000000e-03 4.240300000000e+03 4.240299927140e+03 4.240193124193e+03 -7.059480812660e-02 -2.092918322569e-03 -6.774263572528e-01 -8.231631404033e-02 -2.022523662607e+00 9.734931258427e-03
1.128100000000e-03 4.296500000000e+03 4.296499924581e+03 4.296388591165e+03 -7.259012242369e-02 -2.216184330394e-03 -7.062186145228e-01 -8.470023847303e-02 -2.081041537047e+00 1.028580662826e-02
1.144400000000e-03 4.353300000000e+03 4.353299935260e+03 4.353183846257e+03 -7.464924312043e-02 -2.347271629963e-03 -7.363598358257e-01 -8.716377986411e-02 -2.141510496963e+00 1.087011512064e-02
1.160800000000e-03 4.410900000000e+03 4.410899923823e+03 4.410778939530e+03 -7.674776508646e-02 -2.484931977120e-03 -7.675320818554e-01 -8.967799855418e-02 -2.203219944363e+00 1.148213843490e-02
1.177500000000e-03 4.469100000000e+03 4.469099925493e+03 4.468973805561e+03 -7.891213156094e-02 -2.631232772145e-03 -8.001513935134e-01 -9.227486170903e-02 -2.266954214123e+00 1.213086352723e-02
1.194500000000e-03 4.528100000000e+03 4.528099932624e+03 4.527968436900e+03 -8.114369054526e-02 -2.786695293411e-03 -8.342656558373e-01 -9.495635784106e-02 -2.332761758284e+00 1.281834680847e-02
1.211600000000e-03 4.587800000000e+03 4.587799919283e+03 4.587662890988e+03 -8.341704520654e-02 -2.949915675102e-03 -8.695102788973e-01 -9.769228225878e-02 -2.399901013746e+00 1.353815699870e-02
1.229100000000e-03 4.648200000000e+03 4.648199930587e+03 4.648057061609e+03 -8.577319815879e-02 -3.124261570680e-03 -9.065605693167e-01 -1.005323386862e-01 -2.469591350501e+00 1.430491901816e-02
1.246800000000e-03 4.709300000000e+03 4.709299936133e+03 4.709151004565e+03 -8.818660219099e-02 -3.308328866867e-03 -9.450621447921e-01 -1.034461437707e-01 -2.541086805015e+00 1.511220977350e-02
1.264700000000e-03 4.771200000000e+03 4.771199930386e+03 4.771044712009e+03 -9.065812327885e-02 -3.502606023756e-03 -9.850651787545e-01 -1.064350993938e-01 -2.614421425892e+00 1.596192880052e-02
1.282900000000e-03 4.833900000000e+03 4.833899929099e+03 4.833738140251e+03 -9.320268442019e-02 -3.708768192181e-03 -1.026847929382e+00 -1.095176800250e-01 -2.690048079026e+00 1.686109409406e-02
1.301400000000e-03 4.897200000000e+03 4.897199942477e+03 4.897031279139e+03 -9.582166561781e-02 -3.927505295520e-03 -1.070475531531e+00 -1.126960497522e-01 -2.768019387120e+00 1.781236971843e-02
1.320100000000e-03 4.961400000000e+03 4.961399937902e+03 4.961224156317e+03 -9.850203382608e-02 -4.158279338137e-03 -1.115772639270e+00 -1.159548563824e-01 -2.847958282876e+00 1.881309054187e-02
1.339100000000e-03 5.026300000000e+03 5.026299942632e+03 5.026116723464e+03 -1.012592512069e-01 -4.402997141683e-03 -1.163046979098e+00 -1.193133806496e-01 -2.930337252220e+00 1.987119936131e-02
1.358300000000e-03 5.092000000000e+03 5.091999932731e+03 5.091809009191e+03 -1.040799347517e-01 -4.661070884639e-03 -1.212116973838e+00 -1.227558226838e-01 -3.014768259153e+00 2.098381707492e-02
1.377900000000e-03 5.158500000000e+03 5.158499945333e+03 5.158300921283e+03 -1.069948567196e-01 -4.936020047633e-03 -1.263569778125e+00 -1.263203295298e-01 -3.102186345472e+00 2.216570305699e-02
1.397700000000e-03 5.225800000000e+03 5.225799942147e+03 5.225592530502e+03 -1.099756576480e-01 -5.225913324645e-03 -1.316955908705e+00 -1.299728479457e-01 -3.191755770267e+00 2.340810160941e-02
1.417800000000e-03 5.293800000000e+03 5.293799947883e+03 5.293583784020e+03 -1.130385035267e-01 -5.533035997046e-03 -1.372612136252e+00 -1.337337853784e-01 -3.283976405303e+00 2.472036299724e-02
