# k P_{11} P_{nw} P_{m,LO}, P_{m,NLO}
2.583400000000000019e-03 8.952600000000000364e+03 8.960409152096328398e+03 8.952601561303181370e+03 8.951400825523156527e+03
2.620599999999999839e-03 9.060299999999999272e+03 9.068547387139529746e+03 9.060301696745271329e+03 9.059051675968043128e+03
2.658300000000000159e-03 9.169100000000000364e+03 9.177593663643858235e+03 9.169101798044930547e+03 9.167800634255912883e+03
2.696599999999999952e-03 9.278799999999999272e+03 9.287814850917902731e+03 9.278801963757123303e+03 9.277447445331203198e+03
2.735399999999999811e-03 9.389600000000000364e+03 9.398900614620899432e+03 9.389602084721895153e+03 9.388192234756372272e+03
2.774700000000000170e-03 9.501399999999999636e+03 9.510830453878679691e+03 9.501402174993923836e+03 9.499934937215459286e+03
2.814699999999999841e-03 9.614200000000000728e+03 9.624148805976674339e+03 9.614202361169243886e+03 9.612675128820570535e+03
2.855200000000000012e-03 9.728000000000000000e+03 9.738263704685328776e+03 9.728002506499680749e+03 9.726413100205112642e+03
2.896199999999999816e-03 9.842799999999999272e+03 9.853154193436821515e+03 9.842802601730298193e+03 9.841148782361609847e+03
2.937899999999999800e-03 9.958600000000000364e+03 9.969354950920856936e+03 9.958602780800101755e+03 9.956881703719804136e+03
2.980200000000000123e-03 1.007500000000000000e+04 1.008655901437691136e+04 1.007500307536958826e+04 1.007321191028915018e+04
3.023099999999999919e-03 1.019300000000000000e+04 1.020474021788876962e+04 1.019300321414303107e+04 1.019113944695449027e+04
3.066600000000000055e-03 1.031200000000000000e+04 1.032387223387134509e+04 1.031200334448304056e+04 1.031006415498709612e+04
3.110700000000000097e-03 1.043200000000000000e+04 1.044392855420895830e+04 1.043200345767832005e+04 1.042998595602398018e+04
3.155400000000000045e-03 1.055300000000000000e+04 1.056488251568048327e+04 1.055300354401814002e+04 1.055090477208099401e+04
3.200800000000000173e-03 1.067400000000000000e+04 1.068697539963867166e+04 1.067400398212272194e+04 1.067182014156568221e+04
3.246900000000000047e-03 1.079700000000000000e+04 1.081017518154594472e+04 1.079700416072795997e+04 1.079473226619233355e+04
3.293599999999999826e-03 1.092100000000000000e+04 1.093418492727955709e+04 1.092100428442304474e+04 1.091864113491919124e+04
3.340999999999999786e-03 1.104600000000000000e+04 1.105924031161805942e+04 1.104600442712731819e+04 1.104354641178947531e+04
3.389099999999999925e-03 1.117100000000000000e+04 1.118530871144759840e+04 1.117100492309300898e+04 1.116844781483521365e+04
3.437799999999999970e-03 1.129800000000000000e+04 1.131209785380576795e+04 1.129800499092222708e+04 1.129534582417346246e+04
3.487300000000000035e-03 1.142600000000000000e+04 1.144009545088357117e+04 1.142600513478125868e+04 1.142323964524393523e+04
3.537499999999999846e-03 1.155400000000000000e+04 1.156900711468850386e+04 1.155400562538382110e+04 1.155112921913307400e+04
3.588399999999999836e-03 1.168400000000000000e+04 1.169879953061042033e+04 1.168400570833351048e+04 1.168101478342075279e+04
3.640000000000000006e-03 1.181400000000000000e+04 1.182943924603638879e+04 1.181400612753965652e+04 1.181089582643759240e+04
3.692400000000000196e-03 1.194500000000000000e+04 1.196114309133812276e+04 1.194500659263397574e+04 1.194177211565011385e+04
3.745500000000000131e-03 1.207800000000000000e+04 1.209362323356565321e+04 1.207800656512099704e+04 1.207464401975226610e+04
3.799400000000000086e-03 1.221100000000000000e+04 1.222709252205310258e+04 1.221100695830899895e+04 1.220751072414907867e+04
3.854100000000000061e-03 1.234500000000000000e+04 1.236151134737455322e+04 1.234500734641248891e+04 1.234137232070353821e+04
3.909499999999999781e-03 1.248000000000000000e+04 1.249659706220386397e+04 1.248000759832203767e+04 1.247622900383704473e+04
3.965800000000000228e-03 1.261600000000000000e+04 1.263279744200918685e+04 1.261600791308667249e+04 1.261207999338624722e+04
4.022799999999999987e-03 1.275300000000000000e+04 1.276958863242683765e+04 1.275300804091849750e+04 1.274892574230735772e+04
4.080699999999999605e-03 1.289000000000000000e+04 1.290741046310218917e+04 1.289000868389972675e+04 1.288576514291155399e+04
4.139399999999999677e-03 1.302900000000000000e+04 1.304598172015208729e+04 1.302900871542304230e+04 1.302459882104138524e+04
4.198999999999999608e-03 1.316800000000000000e+04 1.318549515543349844e+04 1.316800923928414704e+04 1.316342577093287036e+04
4.259399999999999992e-03 1.330800000000000000e+04 1.332567327523966196e+04 1.330800960371669316e+04 1.330324646879163993e+04
4.320700000000000235e-03 1.344900000000000000e+04 1.346670465424797658e+04 1.344900989960120751e+04 1.344406044125818516e+04
4.382800000000000064e-03 1.359100000000000000e+04 1.360831566344454586e+04 1.359100996233061596e+04 1.358586791509455907e+04
4.445900000000000026e-03 1.373300000000000000e+04 1.375091567890376245e+04 1.373301060638859417e+04 1.372766765500888505e+04
4.509899999999999846e-03 1.387600000000000000e+04 1.389422885565986689e+04 1.387601110463750956e+04 1.387046008927372350e+04
4.574800000000000394e-03 1.402000000000000000e+04 1.403820835499767600e+04 1.402001141358972745e+04 1.401424499420610300e+04
4.640599999999999933e-03 1.416500000000000000e+04 1.418280731829201613e+04 1.416501148550694597e+04 1.415902216138630865e+04
4.707300000000000199e-03 1.431000000000000000e+04 1.432797886304694839e+04 1.431001193178168614e+04 1.430379106996852170e+04
4.775100000000000004e-03 1.445600000000000000e+04 1.447410505008709151e+04 1.445601236402317772e+04 1.444955098977132911e+04
4.843799999999999668e-03 1.460200000000000000e+04 1.462070154593428197e+04 1.460201314137333247e+04 1.459530221949285806e+04
4.913500000000000333e-03 1.475000000000000000e+04 1.476793165374599266e+04 1.475001296548241044e+04 1.474304482252001981e+04
4.984200000000000262e-03 1.489800000000000000e+04 1.491574207656314866e+04 1.489801320010039126e+04 1.489077787720927336e+04
5.055900000000000324e-03 1.504600000000000000e+04 1.506407953820922194e+04 1.504601384080866956e+04 1.503850112073957825e+04
5.128599999999999652e-03 1.519500000000000000e+04 1.521289081054479539e+04 1.519501409288919058e+04 1.518721465444104797e+04
5.202400000000000253e-03 1.534400000000000000e+04 1.536232410137382067e+04 1.534401485243199568e+04 1.533591731490752500e+04
5.277300000000000393e-03 1.549400000000000000e+04 1.551231966276256753e+04 1.549401527929585609e+04 1.548560920055416318e+04
5.353199999999999799e-03 1.564500000000000000e+04 1.566262086149744573e+04 1.564501512206591178e+04 1.563629059090081500e+04
5.430199999999999610e-03 1.579600000000000000e+04 1.581336946794353207e+04 1.579601533803822349e+04 1.578696038596616563e+04
5.508400000000000102e-03 1.594700000000000000e+04 1.596469833745393771e+04 1.594701608160890100e+04 1.593761786342051164e+04
5.587599999999999859e-03 1.609900000000000000e+04 1.611616102046992091e+04 1.609901604479215348e+04 1.608926429843982805e+04
5.668000000000000295e-03 1.625100000000000000e+04 1.626808071564239071e+04 1.625101643237087228e+04 1.624089786143724814e+04
5.749599999999999676e-03 1.640300000000000000e+04 1.642039141276318696e+04 1.640301721624952188e+04 1.639251813063208465e+04
5.832300000000000331e-03 1.655600000000000000e+04 1.657284403854080301e+04 1.655601715726772818e+04 1.654512575629265848e+04
5.916199999999999931e-03 1.670900000000000000e+04 1.672556071377909029e+04 1.670901735723429010e+04 1.669771934249584592e+04
6.001300000000000211e-03 1.686200000000000000e+04 1.687847591437473238e+04 1.686201776844344204e+04 1.685029860945168184e+04
6.087699999999999709e-03 1.701600000000000000e+04 1.703170050676415121e+04 1.701601742298427052e+04 1.700386327664528653e+04
6.175299999999999886e-03 1.716900000000000000e+04 1.718498850285459412e+04 1.716901825657569862e+04 1.715641259854251985e+04
6.264099999999999877e-03 1.732300000000000000e+04 1.733827507079415955e+04 1.732301794687396978e+04 1.730994738843817322e+04
6.354300000000000226e-03 1.747700000000000000e+04 1.749183373674548420e+04 1.747701793357242059e+04 1.746346543902078702e+04
6.445700000000000388e-03 1.763000000000000000e+04 1.764525257430925194e+04 1.763001897389664009e+04 1.761596698313923480e+04
6.538399999999999768e-03 1.778400000000000000e+04 1.779863187165487034e+04 1.778401872872574313e+04 1.776945224343949667e+04
6.632500000000000374e-03 1.793800000000000000e+04 1.795206261713987988e+04 1.793801852157797111e+04 1.792291964432473833e+04
6.727900000000000200e-03 1.809100000000000000e+04 1.810530760699443636e+04 1.809101938987821268e+04 1.807536889850845182e+04
6.824700000000000384e-03 1.824500000000000000e+04 1.825845363225466645e+04 1.824501876061944131e+04 1.822880032795277657e+04
6.922900000000000061e-03 1.839800000000000000e+04 1.841142357609409009e+04 1.839801926087690299e+04 1.838121215597847186e+04
7.022500000000000096e-03 1.855100000000000000e+04 1.856414065153108459e+04 1.855101940095330065e+04 1.853360463216975768e+04
7.123599999999999897e-03 1.870400000000000000e+04 1.871667812358931405e+04 1.870401926049326721e+04 1.868597667572233695e+04
7.226100000000000058e-03 1.885600000000000000e+04 1.886880540977559940e+04 1.885602001728730465e+04 1.883732802724046269e+04
7.329999999999999710e-03 1.900800000000000000e+04 1.902044692522592959e+04 1.900802001999665663e+04 1.898865931401471244e+04
7.435500000000000269e-03 1.916000000000000000e+04 1.917181199754909903e+04 1.916001954913488589e+04 1.913996881779758041e+04
7.542499999999999725e-03 1.930900000000000000e+04 1.932267129492075401e+04 1.930902328164728533e+04 1.928825435933527115e+04
7.650999999999999815e-03 1.946000000000000000e+04 1.947294311875740095e+04 1.946002267973803828e+04 1.943851948294512113e+04
7.761099999999999943e-03 1.961000000000000000e+04 1.962268099927575531e+04 1.961002286397276475e+04 1.958776018943073359e+04
7.872799999999999243e-03 1.975900000000000000e+04 1.977179668754053637e+04 1.975902374085216434e+04 1.973597587608091635e+04
7.986000000000000043e-03 1.990800000000000000e+04 1.992007269301712950e+04 1.990802304577906034e+04 1.988416798816896335e+04
8.101000000000000562e-03 2.005600000000000000e+04 2.006781093261890055e+04 2.005602319946923672e+04 2.003133293757601132e+04
8.217500000000000845e-03 2.020300000000000000e+04 2.021453547382306351e+04 2.020302331412348212e+04 2.017747308344434714e+04
8.335699999999999707e-03 2.034900000000000000e+04 2.036041199411940033e+04 2.034902373215605621e+04 2.032258636587332512e+04
8.455700000000000022e-03 2.049400000000000000e+04 2.050546685101818366e+04 2.049402453701352715e+04 2.046667135117178259e+04
8.577299999999999508e-03 2.063800000000000000e+04 2.064936556701464724e+04 2.063802502402916070e+04 2.060972925236804804e+04
8.700799999999999854e-03 2.078200000000000000e+04 2.079236718652383206e+04 2.078202348715084372e+04 2.075275803338523110e+04
8.825899999999999371e-03 2.092400000000000000e+04 2.093402894234853375e+04 2.092402337813884151e+04 2.089375796356772480e+04
8.952899999999999747e-03 2.106400000000000000e+04 2.107459573840665689e+04 2.106402541445524912e+04 2.103272602636449301e+04
9.081799999999999248e-03 2.120400000000000000e+04 2.121396184697881836e+04 2.120402458616128206e+04 2.117166438470976573e+04
9.212400000000000796e-03 2.134200000000000000e+04 2.135181357927490535e+04 2.134202492094253830e+04 2.130857231319055063e+04
9.344999999999999141e-03 2.147900000000000000e+04 2.148836692658037282e+04 2.147902447547793781e+04 2.144444777118079946e+04
9.479400000000000673e-03 2.161400000000000000e+04 2.162331201387671172e+04 2.161402503596378665e+04 2.157829099523527111e+04
9.615800000000000736e-03 2.174800000000000000e+04 2.175674639341964576e+04 2.174802419590753561e+04 2.171110088415899008e+04
9.754199999999999329e-03 2.187900000000000000e+04 2.188855970908642848e+04 2.187902721150863727e+04 2.184087428920583625e+04
9.894500000000000517e-03 2.201000000000000000e+04 2.201855090174779616e+04 2.201002504415181465e+04 2.197061615978702321e+04
1.003700000000000078e-02 2.213800000000000000e+04 2.214688502386616165e+04 2.213802677655395019e+04 2.209731898803150034e+04
1.018100000000000081e-02 2.226500000000000000e+04 2.227283500260757864e+04 2.226502429345734345e+04 2.222299300078660963e+04
1.032800000000000037e-02 2.238900000000000000e+04 2.239758575770000971e+04 2.238902739433668467e+04 2.234561923025063879e+04
1.047599999999999920e-02 2.251200000000000000e+04 2.251933309325628943e+04 2.251202407176138149e+04 2.246722201351185140e+04
1.062699999999999929e-02 2.263200000000000000e+04 2.263961624673110418e+04 2.263202572594451703e+04 2.258577647664787946e+04
1.077999999999999965e-02 2.275000000000000000e+04 2.275749417627499133e+04 2.275002604648317720e+04 2.270229479364981671e+04
1.093500000000000028e-02 2.286600000000000000e+04 2.287286247777588142e+04 2.286602454055092676e+04 2.281677691024333035e+04
1.109199999999999943e-02 2.297900000000000000e+04 2.298561754817133260e+04 2.297902434782271303e+04 2.292822100305125423e+04
1.125199999999999985e-02 2.309000000000000000e+04 2.309633571739377658e+04 2.309002398696481032e+04 2.303761743103879417e+04
1.141400000000000053e-02 2.319900000000000000e+04 2.320418398514977162e+04 2.319902019461908640e+04 2.314497737766081991e+04
1.157799999999999975e-02 2.330400000000000000e+04 2.330906172868403883e+04 2.330402028792444253e+04 2.324829712294827186e+04
1.174500000000000023e-02 2.340700000000000000e+04 2.341146954923904195e+04 2.340701843385265238e+04 2.334956936704055988e+04
1.191399999999999924e-02 2.350700000000000000e+04 2.351065646327294598e+04 2.350701551660684345e+04 2.344780443813973397e+04
1.208500000000000026e-02 2.360400000000000000e+04 2.360652544032864171e+04 2.360401102615493437e+04 2.354300320786790326e+04
1.225900000000000080e-02 2.369800000000000000e+04 2.369950196349615726e+04 2.369800674738669477e+04 2.363515436496332404e+04
1.243499999999999987e-02 2.378900000000000000e+04 2.378891809667254711e+04 2.378899962144323945e+04 2.372426956105841600e+04
1.261400000000000021e-02 2.387400000000000000e+04 2.387514991517212184e+04 2.387400546865076103e+04 2.380732937591677546e+04
1.279600000000000008e-02 2.395900000000000000e+04 2.395802767883454726e+04 2.395899524186377312e+04 2.389034710314459880e+04
1.298000000000000022e-02 2.403900000000000000e+04 2.403696780995918743e+04 2.403898976797616342e+04 2.396832321866773782e+04
1.316699999999999988e-02 2.411700000000000000e+04 2.411227337069425994e+04 2.411697551267916424e+04 2.404425390358906589e+04
1.335599999999999982e-02 2.419000000000000000e+04 2.418341803032853204e+04 2.418996491736776443e+04 2.411514517903810702e+04
1.354799999999999928e-02 2.426000000000000000e+04 2.425065733669992187e+04 2.425994876450088850e+04 2.418299135806354388e+04
1.374300000000000001e-02 2.432600000000000000e+04 2.431383402192537687e+04 2.432593135238862669e+04 2.424679083489649929e+04
1.394100000000000027e-02 2.438800000000000000e+04 2.437279418703121701e+04 2.438791171698024846e+04 2.430654424411577202e+04
1.414200000000000006e-02 2.444600000000000000e+04 2.442738768410643024e+04 2.444588881016772575e+04 2.436225220754187467e+04
1.434500000000000011e-02 2.450000000000000000e+04 2.447723601584109201e+04 2.449986008805612801e+04 2.441392784742327422e+04
1.455200000000000070e-02 2.455000000000000000e+04 2.452268898626690498e+04 2.454982727717658054e+04 2.446154790029950163e+04
1.476099999999999982e-02 2.459500000000000000e+04 2.456317097941993052e+04 2.459479289930461528e+04 2.450413505412857558e+04
1.497300000000000020e-02 2.463600000000000000e+04 2.459878363773644014e+04 2.463575086351843856e+04 2.454268149533962060e+04
1.518899999999999938e-02 2.467300000000000000e+04 2.462953177733163102e+04 2.467270058492144017e+04 2.457717655229688899e+04
1.540700000000000056e-02 2.470500000000000000e+04 2.465501255850592133e+04 2.470464576036467770e+04 2.460664280265616253e+04
1.562900000000000053e-02 2.473200000000000000e+04 2.467534932508208658e+04 2.473158693083376056e+04 2.463105782224915674e+04
1.585400000000000004e-02 2.475400000000000000e+04 2.469030988300413446e+04 2.475352218581990019e+04 2.465043597537211463e+04
1.608199999999999907e-02 2.477200000000000000e+04 2.469980029504089180e+04 2.477144271480264797e+04 2.466578336687662886e+04
1.631300000000000111e-02 2.478400000000000000e+04 2.470373574366133835e+04 2.478336261299147372e+04 2.467509476044125040e+04
1.654800000000000021e-02 2.479200000000000000e+04 2.470202182365166300e+04 2.479126482388657678e+04 2.468036764883565047e+04
1.678599999999999884e-02 2.479400000000000000e+04 2.469456547205121751e+04 2.479316412124176713e+04 2.467960729691726374e+04
1.702800000000000147e-02 2.479100000000000000e+04 2.468124733487373669e+04 2.479005070578895175e+04 2.467380724843120333e+04
1.727300000000000016e-02 2.478300000000000000e+04 2.466204691939266195e+04 2.478192364294399886e+04 2.466298106339357764e+04
1.752099999999999838e-02 2.477100000000000000e+04 2.463693670936322815e+04 2.476977263005705026e+04 2.464813618674151803e+04
1.777300000000000060e-02 2.475200000000000000e+04 2.460576729177355810e+04 2.475062261274077173e+04 2.462625259817050028e+04
1.802899999999999989e-02 2.472800000000000000e+04 2.456847200814560711e+04 2.472645399568976427e+04 2.459934413785096331e+04
1.828799999999999870e-02 2.469700000000000000e+04 2.452517875969143279e+04 2.469528691580855957e+04 2.456541699110873014e+04
1.855199999999999905e-02 2.466200000000000000e+04 2.447552041098580594e+04 2.466008698207243651e+04 2.452746777673341421e+04
1.881800000000000139e-02 2.462000000000000000e+04 2.442007582940913198e+04 2.461789013853811048e+04 2.448251624528512548e+04
1.908899999999999833e-02 2.457300000000000000e+04 2.435825214392954513e+04 2.457066831333809387e+04 2.443254341293621110e+04
1.936399999999999927e-02 2.452000000000000000e+04 2.429026856425232472e+04 2.451743364399340498e+04 2.437655759719744310e+04
1.964300000000000074e-02 2.446100000000000000e+04 2.421616480006930578e+04 2.445818599315519532e+04 2.431456261553131117e+04
1.992499999999999827e-02 2.439600000000000000e+04 2.413629133209098654e+04 2.439292923689413146e+04 2.424657241137076562e+04
2.021200000000000080e-02 2.432500000000000000e+04 2.405015866363525129e+04 2.432165659452900218e+04 2.417257326384270345e+04
2.050300000000000039e-02 2.424800000000000000e+04 2.395813744414244138e+04 2.424437224092107135e+04 2.409257897431503807e+04
2.079800000000000051e-02 2.416600000000000000e+04 2.386034209391367040e+04 2.416206439791140292e+04 2.400759911062828178e+04
2.109700000000000117e-02 2.407700000000000000e+04 2.375690461795027659e+04 2.407275994100792741e+04 2.391562507586885476e+04
2.139999999999999888e-02 2.398200000000000000e+04 2.364797396717083029e+04 2.397744828183233767e+04 2.381766710971411158e+04
2.170800000000000160e-02 2.388100000000000000e+04 2.353333682345636043e+04 2.387612606601122025e+04 2.371372384627023348e+04
2.202099999999999891e-02 2.377500000000000000e+04 2.341313895923730524e+04 2.376978074648834081e+04 2.360480997041619412e+04
2.233800000000000022e-02 2.366200000000000000e+04 2.328794532892683128e+04 2.365644959226124047e+04 2.348892603768062327e+04
2.265899999999999859e-02 2.354300000000000000e+04 2.315796726759884041e+04 2.353712258129658221e+04 2.336708274766927570e+04
2.298499999999999849e-02 2.341800000000000000e+04 2.302300884719757596e+04 2.341179720638188519e+04 2.323927647055781199e+04
2.331599999999999992e-02 2.328800000000000000e+04 2.288327835866341411e+04 2.328146153158747984e+04 2.310651730466429217e+04
2.365099999999999841e-02 2.315100000000000000e+04 2.273942993564668723e+04 2.314416006106307032e+04 2.296679921328954151e+04
2.399099999999999844e-02 2.301000000000000000e+04 2.259127516562096571e+04 2.300284137245484453e+04 2.282314560010042624e+04
2.433700000000000099e-02 2.286200000000000000e+04 2.243860955614819250e+04 2.285455317731152172e+04 2.267253681412037986e+04
2.468700000000000061e-02 2.270900000000000000e+04 2.228256271331806784e+04 2.270128428123253980e+04 2.251700373853647397e+04
2.504199999999999829e-02 2.255000000000000000e+04 2.212294785940977454e+04 2.254205142982383040e+04 2.235553893558066920e+04
2.540200000000000097e-02 2.238600000000000000e+04 2.196002028426474499e+04 2.237784400291396014e+04 2.218915434205287602e+04
2.576799999999999924e-02 2.221700000000000000e+04 2.179358119383787562e+04 2.220866006927650596e+04 2.201785167952972552e+04
2.613899999999999904e-02 2.204300000000000000e+04 2.162434057968681009e+04 2.203451709080168803e+04 2.184163852332362512e+04
2.651500000000000037e-02 2.186400000000000000e+04 2.145255503495766607e+04 2.185542423891213912e+04 2.166052022074122215e+04
